PlayerRowId,SteamId,VACBanned,NumberOfVACBans,NumberOfGameBans,DaysSinceLastBan,EconomyBan,TotalGamesOwned,TotalPlaytimeMinutes,TotalPlaytimeHours
322,7.65612E+16,True,1,0,5614,False,0,0.0,0.0
323,7.65612E+16,True,1,0,3853,False,0,0.0,0.0
324,7.65612E+16,True,1,0,5866,False,0,0.0,0.0
325,7.65612E+16,True,1,0,5816,False,4,4505.0,75.1
326,7.65612E+16,True,1,0,5810,False,0,0.0,0.0
327,7.65612E+16,True,1,0,5872,False,0,0.0,0.0
328,7.65612E+16,False,0,1,1230,False,1,1778.0,29.6
329,7.65612E+16,False,0,1,2870,False,0,0.0,0.0
330,7.65612E+16,False,0,2,1448,False,8,6389.0,106.5
331,7.65612E+16,True,1,0,2228,False,1,177.0,3.0
332,7.65612E+16,False,0,1,1354,False,1,4556.0,75.9
333,7.65612E+16,True,1,0,5477,False,0,0.0,0.0
334,7.65612E+16,True,1,0,3069,False,0,0.0,0.0
335,7.65612E+16,True,1,0,5503,False,0,0.0,0.0
336,7.65612E+16,True,1,0,3988,False,0,0.0,0.0
337,7.65612E+16,True,1,0,5484,False,0,0.0,0.0
338,7.65612E+16,True,1,0,5615,False,0,0.0,0.0
339,7.65612E+16,True,1,0,5829,False,0,0.0,0.0
340,7.65612E+16,False,0,2,324,False,22,58157.0,969.3
341,7.65612E+16,True,1,0,1729,False,0,0.0,0.0
342,7.65612E+16,True,1,0,5467,False,0,0.0,0.0
343,7.65612E+16,True,1,0,4720,False,559,259344.0,4322.4
344,7.65612E+16,True,1,0,3809,False,79,427940.0,7132.3
345,7.65612E+16,True,1,0,2690,False,14,54486.0,908.1
346,7.65612E+16,True,1,0,2139,False,0,0.0,0.0
347,7.65612E+16,False,0,1,3003,False,0,0.0,0.0
348,7.65612E+16,True,4,0,4237,False,0,0.0,0.0
349,7.65612E+16,False,0,1,2867,False,0,0.0,0.0
350,7.65612E+16,False,0,1,870,False,9,36231.0,603.9
351,7.65612E+16,True,2,1,2786,False,98,90346.0,1505.8
352,7.65612E+16,False,0,1,2907,False,0,0.0,0.0
353,7.65612E+16,True,1,0,5185,False,0,0.0,0.0
354,7.65612E+16,True,1,0,2978,False,0,0.0,0.0
355,7.65612E+16,False,0,1,203,False,27,75585.0,1259.8
356,7.65612E+16,True,1,0,5587,False,0,0.0,0.0
